customer_id,product_id,browse_date,time_spent_seconds,pages_viewed,added_to_cart
C0083,P0137,2025-09-01 03:31:23,103,5,0
C1353,P0156,2026-01-10 01:48:19,194,14,0
C0883,P0007,2025-07-03 22:33:25,84,12,0
C0609,P0004,2025-06-18 02:30:09,556,1,0
C0101,P0103,2025-09-17 00:34:50,384,4,0
C1245,P0052,2025-10-19 23:42:19,424,12,0
C0422,P0178,2026-05-20 20:01:50,67,5,1
C1652,P0191,2026-04-16 03:44:18,578,13,0
C0483,P0007,2026-05-12 15:30:07,159,12,0
C0982,P0014,2026-04-24 01:58:24,459,5,0
C0598,P0133,2025-12-26 16:37:49,514,7,0
C0386,P0062,2025-07-24 17:18:55,409,6,0
C0742,P0079,2026-05-27 10:05:18,475,10,0
C1912,P0167,2026-03-30 07:44:41,69,13,0
C0213,P0181,2026-02-03 10:52:16,342,5,1
C0173,P0160,2025-08-07 12:58:29,168,1,0
C0995,P0188,2026-02-17 01:25:22,399,5,0
C0308,P0183,2026-03-20 15:25:28,514,4,1
C0546,P0052,2025-07-01 20:46:32,598,8,0
C1251,P0180,2026-02-03 15:31:48,426,10,1
C0021,P0042,2026-06-05 08:45:07,401,1,0
C0105,P0192,2025-07-18 17:05:10,21,8,0
C0393,P0169,2026-04-30 11:37:12,133,2,1
C0572,P0048,2026-01-16 22:14:19,33,1,0
C1034,P0058,2026-05-19 08:26:45,236,5,1
C1308,P0034,2026-06-01 04:14:38,204,1,0
C0079,P0145,2026-04-14 21:08:40,177,3,0
C0581,P0160,2025-09-29 13:47:31,453,7,1
C0101,P0008,2025-10-01 03:50:03,204,9,0
C0087,P0043,2026-01-26 11:31:05,389,13,0
C1459,P0152,2025-12-24 09:53:09,487,8,0
C1041,P0133,2026-01-20 09:31:05,152,5,0
C0232,P0058,2025-09-17 19:05:05,370,4,0
C1675,P0180,2025-07-23 06:36:56,403,3,0
C1415,P0028,2025-12-14 07:41:03,567,11,0
C0442,P0005,2026-04-20 01:57:04,354,6,0
C1376,P0008,2026-04-29 16:36:59,324,10,0
C1574,P0111,2025-09-15 02:19:53,372,12,0
C1361,P0136,2025-09-14 13:38:37,364,9,0
C0329,P0194,2025-10-31 06:31:41,467,2,0
C0963,P0049,2026-04-15 20:44:18,386,4,1
C1614,P0105,2026-02-03 01:57:49,173,9,0
C0378,P0119,2025-10-26 17:50:52,194,2,0
C1802,P0149,2025-07-09 07:29:31,492,2,0
C0374,P0013,2025-07-01 15:01:50,164,12,0
C1250,P0011,2026-03-02 14:26:40,526,1,0
C0936,P0146,2025-11-09 03:44:12,187,9,0
C1689,P0059,2026-05-06 18:48:31,128,10,0
C0985,P0114,2025-11-26 03:43:24,418,4,1
C1749,P0172,2026-03-27 17:46:49,292,3,0
C0686,P0113,2026-06-05 08:05:35,126,14,0
C1655,P0039,2025-06-19 08:58:23,501,12,0
C1257,P0175,2025-10-22 10:54:53,534,5,1
C1421,P0149,2026-02-24 02:14:43,306,8,0
C0238,P0135,2025-11-10 05:45:55,240,11,0
C0256,P0086,2026-03-24 22:48:37,239,9,1
C0534,P0092,2025-11-15 23:50:37,470,2,0
C0541,P0180,2026-04-06 10:32:42,287,2,0
C1631,P0151,2025-10-10 14:24:13,92,12,0
C0461,P0022,2025-09-16 05:59:37,425,13,0
C1377,P0184,2026-05-27 23:50:07,519,6,0
C0019,P0023,2025-09-14 22:39:26,417,14,1
C1831,P0108,2025-08-03 19:18:09,371,9,1
C1152,P0111,2026-06-06 13:53:38,140,10,0
C1210,P0144,2026-05-05 17:13:30,588,1,0
C1900,P0005,2026-04-22 11:45:06,519,1,0
C1924,P0104,2025-08-18 00:10:54,487,10,0
C1890,P0010,2026-01-01 01:45:02,409,14,1
C0231,P0155,2025-07-15 10:01:45,70,9,1
C0112,P0013,2025-11-25 17:53:45,397,4,0
C0932,P0086,2026-01-04 18:13:44,238,10,1
C0314,P0054,2026-01-14 20:04:08,16,1,0
C1998,P0014,2026-06-04 09:45:51,422,5,1
C1401,P0020,2025-10-20 15:30:10,591,3,0
C1759,P0070,2026-02-13 22:43:41,215,5,0
C0698,P0132,2026-05-24 05:38:46,385,4,0
C1044,P0138,2026-01-09 03:20:35,540,6,0
