customer_id,age,gender,region,signup_date,preferred_device,loyalty_tier
C0001,30.0,Male,Cape Coast,2026-05-29,Mobile,Gold
C0002,45.0,Male,Kumasi,2024-02-28,Desktop,Silver
C0003,65.0,Male,Cape Coast,2024-03-08,Desktop,Platinum
C0004,46.0,Male,Accra,2025-06-29,Desktop,Gold
C0005,30.0,Male,Accra,2025-03-21,Mobile,Bronze
C0006,63.0,Male,Tamale,2024-01-02,Mobile,Silver
C0007,52.0,Male,Tamale,2024-07-24,Tablet,Silver
C0008,23.0,Female,Cape Coast,2024-05-25,Tablet,Platinum
C0009,35.0,Male,Cape Coast,2026-05-23,,Silver
C0010,68.0,Female,Tamale,2023-07-24,Tablet,Gold
C0011,22.0,Female,Cape Coast,2025-12-10,Desktop,Bronze
C0012,64.0,Male,Kumasi,2025-01-04,Mobile,Gold
C0013,42.0,Male,Cape Coast,2025-01-06,Tablet,Silver
C0014,19.0,Male,Accra,2024-12-23,Mobile,Bronze
C0015,27.0,Male,Accra,2025-01-27,Mobile,Gold
C0016,,Male,Cape Coast,2026-06-05,Mobile,Gold
C0017,,Female,Kumasi,2025-03-19,Tablet,Silver
C0018,62.0,Female,Kumasi,2023-12-26,,Platinum
C0019,22.0,Male,Accra,2023-12-30,Mobile,Platinum
C0020,50.0,Female,Tamale,2026-02-01,Desktop,Platinum
C0021,18.0,Male,Accra,2024-10-16,Mobile,Platinum
C0022,35.0,Female,Accra,2024-07-05,Mobile,Silver
C0023,49.0,Male,Cape Coast,2025-05-08,Desktop,Silver
C0024,64.0,Female,Kumasi,2024-06-18,Desktop,Platinum
C0025,66.0,Male,Accra,2024-03-23,Desktop,Bronze
C0026,28.0,Male,Cape Coast,2026-04-28,Mobile,Bronze
C0027,38.0,Male,Kumasi,2026-03-03,Desktop,Platinum
C0028,43.0,Female,Kumasi,2024-07-03,Desktop,Bronze
C0029,42.0,Male,Tamale,2023-12-10,Mobile,Platinum
C0030,39.0,Female,Tamale,2024-07-07,Desktop,Platinum
C0031,44.0,Female,Kumasi,2025-02-18,Mobile,Gold
C0032,66.0,Male,Accra,2026-03-17,Tablet,Bronze
C0033,30.0,Female,Accra,2024-08-22,Mobile,Platinum
C0034,50.0,Male,Accra,2025-09-19,Tablet,Bronze
C0035,51.0,Male,Accra,2023-09-02,Tablet,Bronze
C0036,58.0,Male,Tamale,2024-06-22,Mobile,Silver
C0037,52.0,Male,Cape Coast,2023-08-07,Mobile,Platinum
C0038,18.0,Female,Takoradi,2025-04-09,Mobile,Gold
C0039,38.0,Male,Takoradi,2024-03-26,Desktop,Silver
C0040,65.0,Female,Tamale,2026-01-20,Desktop,Bronze
C0041,23.0,Male,Tamale,2025-01-05,Tablet,Bronze
C0042,45.0,Male,Cape Coast,2025-11-21,Mobile,Gold
C0043,34.0,Male,Takoradi,2025-01-31,Mobile,Silver
C0044,22.0,Female,Takoradi,2023-12-24,Mobile,Platinum
C0045,48.0,Female,Cape Coast,2023-06-14,Tablet,Bronze
C0046,22.0,Female,Accra,2025-12-18,Mobile,Gold
C0047,55.0,Male,Accra,2024-06-19,Tablet,Silver
C0048,20.0,Female,Takoradi,2025-06-12,Tablet,Silver
C0049,40.0,Female,Kumasi,2025-08-01,Tablet,Gold
C0050,54.0,Female,Takoradi,2026-03-09,Mobile,Bronze
C0051,54.0,Female,Takoradi,2025-06-16,Mobile,Bronze
C0052,27.0,Female,Kumasi,2024-12-09,Tablet,Gold
C0053,27.0,Male,Tamale,2024-02-17,Tablet,Platinum
C0054,36.0,Male,Accra,2026-04-24,Mobile,Silver
C0055,34.0,Male,Takoradi,2026-01-29,Tablet,Silver
C0056,38.0,Female,Kumasi,2024-03-20,Mobile,Gold
C0057,31.0,Female,Accra,2025-09-03,Desktop,Silver
C0058,26.0,Male,Accra,2023-09-19,Desktop,Platinum
C0059,63.0,Male,Kumasi,2026-04-28,Mobile,Silver
C0060,,Female,Accra,2024-11-25,Mobile,Gold
C0061,,Female,Kumasi,2025-05-10,Desktop,Silver
C0062,62.0,Male,Tamale,2025-04-30,Mobile,Platinum
C0063,30.0,Male,Kumasi,2023-10-11,Desktop,Gold
C0064,21.0,Female,Kumasi,2024-03-15,Mobile,Bronze
C0065,18.0,Male,Tamale,2026-03-23,Desktop,Gold
C0066,66.0,Male,Takoradi,2026-01-26,Desktop,Platinum
C0067,57.0,Female,Accra,2024-01-07,Mobile,Gold
C0068,49.0,Male,Cape Coast,2024-07-25,Desktop,Bronze
C0069,51.0,Male,Cape Coast,2025-05-05,Desktop,Gold
C0070,45.0,Female,Tamale,2024-09-22,Tablet,Bronze
C0071,48.0,Female,Cape Coast,2023-08-15,Mobile,Gold
C0072,25.0,Male,Tamale,2024-09-05,Mobile,Silver
C0073,56.0,Female,Tamale,2025-02-11,Mobile,Gold
C0074,43.0,Female,Accra,2025-05-07,,Gold
C0075,51.0,Female,Tamale,2023-06-17,Desktop,Platinum
C0076,20.0,Female,Cape Coast,2024-12-31,Mobile,Silver
C0077,67.0,Female,Tamale,2025-11-28,Tablet,Silver
C0078,29.0,Female,Tamale,2025-03-22,Tablet,Bronze
C0079,18.0,Female,Takoradi,2024-09-30,Mobile,Platinum
C0080,61.0,Female,Tamale,2025-07-10,Desktop,Platinum
C0081,22.0,Male,Cape Coast,2024-07-12,Desktop,Silver
C0082,47.0,Male,Takoradi,2024-11-09,Tablet,Gold
C0083,47.0,Male,Kumasi,2024-07-13,Tablet,Gold
C0084,34.0,Male,Kumasi,2025-05-22,Mobile,Bronze
C0085,65.0,Male,Kumasi,2025-11-27,Desktop,Bronze
C0086,64.0,Female,Tamale,2023-08-21,Tablet,Silver
C0087,40.0,Female,Tamale,2023-10-29,Desktop,Silver
C0088,32.0,Male,Accra,2024-04-26,Mobile,Platinum
C0089,54.0,Male,Kumasi,2026-02-07,Tablet,Platinum
C0090,38.0,Male,Cape Coast,2026-01-24,Mobile,Bronze
C0091,31.0,Female,Kumasi,2024-03-18,Desktop,Gold
C0092,19.0,Female,Cape Coast,2023-11-08,Tablet,Platinum
C0093,28.0,Female,Kumasi,2025-03-14,Tablet,Platinum
C0094,68.0,Female,Takoradi,2024-03-18,Mobile,Gold
C0095,56.0,Female,Kumasi,2023-08-20,Desktop,Platinum
C0096,,Male,Takoradi,2025-01-27,Mobile,Gold
C0097,51.0,Female,Takoradi,2023-10-13,Tablet,Bronze
C0098,55.0,Male,Kumasi,2025-06-17,Mobile,Platinum
C0099,67.0,Male,Kumasi,2025-06-05,Mobile,Platinum
C0100,,Female,Takoradi,2023-08-02,Tablet,Platinum
C0101,35.0,Female,Accra,2025-09-22,Mobile,Platinum
C0102,47.0,Female,Cape Coast,2025-12-20,Tablet,Bronze
C0103,32.0,Female,Tamale,2023-11-05,Mobile,Gold
C0104,44.0,Female,Tamale,2024-02-05,Desktop,Silver
C0105,68.0,Female,Kumasi,2026-02-13,Desktop,Platinum
C0106,51.0,Female,Accra,2026-02-21,Desktop,Gold
C0107,69.0,Female,Kumasi,2024-10-15,Desktop,Silver
C0108,55.0,Male,Tamale,2024-10-06,Tablet,Bronze
C0109,50.0,Male,Tamale,2025-05-18,,Platinum
C0110,41.0,Male,Accra,2025-06-26,Desktop,Platinum
C0111,32.0,Female,Kumasi,2023-11-13,Desktop,Gold
C0112,47.0,Female,Tamale,2024-03-02,Desktop,Platinum
C0113,59.0,Female,Accra,2025-03-03,Desktop,Bronze
C0114,68.0,Male,Takoradi,2023-12-03,Mobile,Bronze
C0115,34.0,Male,Accra,2026-05-18,Mobile,Silver
C0116,22.0,Male,Cape Coast,2023-07-07,Mobile,Silver
C0117,46.0,Male,Tamale,2025-08-27,Tablet,Bronze
C0118,21.0,Male,Tamale,2024-03-15,Tablet,Gold
C0119,27.0,Female,Kumasi,2026-05-24,Tablet,Bronze
C0120,34.0,Male,Takoradi,2026-05-01,Mobile,Bronze
