transaction_id,customer_id,product_id,purchase_date,quantity,unit_price,total_amount,payment_method,returned
T00001,C1718,P0141,2025-11-14 19:50:13,1,343.56,343.56,Mobile Money,0
T00002,C1293,P0076,2026-04-03 16:20:27,4,498.15,1992.6,Mobile Money,0
T00003,C1778,P0039,2025-12-02 17:15:11,3,249.43,748.29,Cash on Delivery,0
T00004,C0348,P0110,2025-11-16 04:46:55,3,253.25,759.75,Card,0
T00005,C0792,P0142,2025-07-29 16:13:29,1,323.0,323.0,Cash on Delivery,1
T00006,C1314,P0186,2026-05-11 00:41:22,3,241.47,724.41,Cash on Delivery,0
T00007,C0214,P0179,2026-06-02 07:34:16,4,178.36,713.44,Cash on Delivery,0
T00008,C0200,P0138,2025-10-07 02:46:43,2,309.85,619.7,Mobile Money,0
T00009,C0007,P0149,2025-11-10 21:09:35,1,311.04,311.04,Mobile Money,0
T00010,C0592,P0090,2025-08-31 08:22:57,1,128.98,128.98,Mobile Money,0
T00011,C0389,P0030,2025-07-10 13:01:35,3,11.97,35.91,Cash on Delivery,1
T00012,C1007,P0160,2026-03-25 00:14:46,4,56.05,224.2,Cash on Delivery,0
T00013,C1015,P0150,2026-05-14 16:23:56,4,162.89,651.56,Mobile Money,0
T00014,C1005,P0172,2025-11-14 08:20:48,4,75.78,303.12,Card,0
T00015,C0272,P0037,2025-07-22 11:10:53,2,64.2,128.4,Cash on Delivery,0
T00016,C0319,P0043,2026-04-22 16:56:32,4,128.4,513.6,Mobile Money,1
T00017,C1196,P0015,2025-07-30 08:07:31,4,405.16,1620.64,Mobile Money,0
T00018,C0739,P0137,2026-02-02 07:47:58,1,235.01,235.01,Mobile Money,0
T00019,C1655,P0044,2025-12-30 10:30:50,4,105.52,422.08,Mobile Money,0
T00020,C1994,P0198,2025-08-15 06:30:38,2,118.55,237.1,Mobile Money,0
T00021,C0929,P0112,2026-04-08 09:08:36,3,445.55,1336.65,Mobile Money,0
T00022,C0774,P0080,2025-07-20 06:02:55,4,444.45,1777.8,Card,0
T00023,C0322,P0083,2025-07-18 15:26:00,3,333.43,1000.29,Mobile Money,0
T00024,C0540,P0018,2026-04-08 12:10:05,2,90.82,181.64,Card,0
T00025,C0449,P0068,2025-07-21 16:49:50,1,166.35,166.35,Cash on Delivery,0
T00026,C1965,P0114,2026-03-18 09:41:36,4,22.79,91.16,Cash on Delivery,1
T00027,C1730,P0058,2025-07-12 12:58:25,3,498.88,1496.64,Mobile Money,1
T00028,C0385,P0180,2025-11-19 13:28:23,4,389.69,1558.76,Cash on Delivery,0
T00029,C0986,P0039,2026-03-24 19:32:26,3,249.43,748.29,Mobile Money,1
T00030,C1099,P0106,2026-05-19 12:52:29,1,164.66,164.66,Cash on Delivery,0
T00031,C0142,P0088,2025-11-20 09:40:54,2,361.87,723.74,Card,0
T00032,C1195,P0199,2025-08-04 16:40:51,3,487.33,1461.99,Card,1
T00033,C0228,P0150,2026-06-03 02:24:41,4,162.89,651.56,Cash on Delivery,0
T00034,C0898,P0155,2026-01-24 21:54:27,4,214.62,858.48,Mobile Money,0
T00035,C0878,P0167,2025-09-01 08:23:36,3,279.08,837.24,Cash on Delivery,0
T00036,C1351,P0019,2026-05-06 05:30:41,2,332.95,665.9,Cash on Delivery,0
T00037,C0879,P0195,2026-03-10 13:25:32,3,475.45,1426.35,Mobile Money,0
T00038,C1614,P0133,2025-10-15 03:07:40,4,174.23,696.92,Mobile Money,0
T00039,C0071,P0189,2026-02-13 15:45:03,4,446.12,1784.48,Cash on Delivery,0
T00040,C0558,P0007,2026-02-06 23:03:37,2,95.79,191.58,Cash on Delivery,1
T00041,C0588,P0072,2026-04-22 19:08:28,2,339.47,678.94,Card,0
T00042,C0142,P0074,2025-12-31 05:49:05,3,118.13,354.39,Card,0
T00043,C1630,P0073,2025-08-06 07:28:21,2,462.72,925.44,Card,0
T00044,C0193,P0069,2025-06-09 05:27:37,1,258.49,258.49,Cash on Delivery,0
T00045,C1556,P0185,2025-08-30 02:33:44,2,342.11,684.22,Cash on Delivery,0
T00046,C1219,P0154,2026-04-07 10:02:29,4,402.72,1610.88,Card,0
T00047,C0619,P0198,2025-10-13 03:30:50,2,118.55,237.1,Card,0
T00048,C0779,P0125,2025-12-17 01:48:18,1,96.25,96.25,Card,0
T00049,C0202,P0200,2026-03-02 20:03:28,1,270.37,270.37,Mobile Money,0
T00050,C0302,P0162,2025-09-11 01:57:53,4,448.28,1793.12,Card,0
T00051,C0032,P0112,2025-12-17 13:34:20,1,445.55,445.55,Mobile Money,0
T00052,C1783,P0098,2026-05-15 14:28:52,4,476.77,1907.08,Card,1
T00053,C1565,P0005,2026-03-17 15:04:02,3,15.19,45.57,Mobile Money,0
T00054,C1274,P0048,2026-04-18 03:00:12,4,446.82,1787.28,Mobile Money,1
T00055,C1509,P0016,2025-09-03 16:28:12,1,119.29,119.29,Cash on Delivery,1
T00056,C1204,P0072,2026-05-20 12:43:51,1,339.47,339.47,Card,0
T00057,C0746,P0046,2025-06-27 23:34:44,1,314.06,314.06,Card,1
T00058,C0963,P0023,2026-03-29 04:28:56,2,461.33,922.66,Cash on Delivery,0
T00059,C1269,P0094,2025-07-28 20:18:22,2,118.94,237.88,Cash on Delivery,1
T00060,C0373,P0034,2025-12-18 17:35:39,4,52.23,208.92,Mobile Money,0
T00061,C1474,P0029,2026-05-17 17:30:51,1,387.26,387.26,Cash on Delivery,0
T00062,C0647,P0185,2026-04-27 20:31:47,3,342.11,1026.33,Mobile Money,0
T00063,C0136,P0110,2026-01-27 03:22:29,1,253.25,253.25,Mobile Money,0
T00064,C1398,P0096,2025-11-20 04:12:26,3,497.3,1491.9,Card,0
T00065,C0878,P0018,2026-05-26 20:32:01,2,90.82,181.64,Cash on Delivery,0
T00066,C1897,P0082,2026-03-08 02:50:32,1,292.44,292.44,Card,0
T00067,C1162,P0016,2025-06-27 04:07:58,1,119.29,119.29,Mobile Money,0
T00068,C1068,P0106,2026-03-13 14:55:07,4,164.66,658.64,Cash on Delivery,1
T00069,C1391,P0123,2026-02-11 12:35:52,4,25.33,101.32,Card,0
T00070,C1463,P0117,2025-11-11 05:58:22,2,155.12,310.24,Cash on Delivery,0
T00071,C1600,P0019,2026-02-12 14:53:44,3,332.95,998.85,Cash on Delivery,0
T00072,C0051,P0040,2025-10-08 15:53:50,4,59.89,239.56,Card,1
T00073,C0056,P0137,2025-08-04 03:33:10,2,235.01,470.02,Card,0
T00074,C0428,P0081,2026-01-03 13:16:27,4,85.01,340.04,Cash on Delivery,1
T00075,C1988,P0187,2025-08-19 21:02:19,3,115.68,347.04,Card,0
T00076,C1662,P0070,2026-05-09 15:02:11,4,52.61,210.44,Mobile Money,1
T00077,C0474,P0061,2025-06-12 12:18:19,4,76.72,306.88,Card,0
T00078,C0919,P0121,2025-09-27 19:10:48,1,351.26,351.26,Cash on Delivery,0
T00079,C1681,P0077,2025-10-02 03:02:20,3,450.71,1352.13,Mobile Money,1
T00080,C1718,P0185,2025-10-27 03:28:37,2,342.11,684.22,Mobile Money,0
T00081,C1509,P0180,2025-08-09 12:48:59,2,389.69,779.38,Card,0
T00082,C0141,P0083,2025-10-19 07:19:44,3,333.43,1000.29,Cash on Delivery,0
T00083,C1631,P0078,2025-07-15 13:02:20,4,143.04,572.16,Cash on Delivery,0
T00084,C0110,P0109,2026-02-21 03:16:08,2,434.2,868.4,Mobile Money,0
T00085,C0613,P0052,2026-04-19 06:51:51,3,257.82,773.46,Cash on Delivery,0
T00086,C1994,P0142,2025-06-16 11:40:49,1,323.0,323.0,Card,0
T00087,C0796,P0063,2026-01-13 17:18:56,3,382.0,1146.0,Card,0
T00088,C1564,P0046,2026-05-18 03:10:37,1,314.06,314.06,Cash on Delivery,0
T00089,C1041,P0002,2026-02-16 02:32:28,3,390.95,1172.85,Cash on Delivery,0
T00090,C1412,P0059,2025-08-10 21:42:24,4,253.83,1015.32,Cash on Delivery,1
T00091,C0899,P0077,2026-02-23 02:17:57,2,450.71,901.42,Mobile Money,0
T00092,C1633,P0115,2025-07-24 22:49:55,1,491.01,491.01,Cash on Delivery,0
T00093,C0712,P0105,2025-11-08 16:45:23,4,74.34,297.36,Mobile Money,0
